product_id,product_name_cn,product_name,target_crops,target_diseases,target_pests,symptoms,active_ingredients,product_types,dosages,application_methods,safety_warnings
AF0001,柑橘菌立清,Citrus Junliqing,"['Chili Pepper', 'Citrus', 'Vegetables', 'Fruit Trees', 'Melons', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Downy Mildew', 'Gray Mold', 'Purple Spot', 'Anthracnose', 'Leaf Spot', 'Wilt', 'Root Rot', 'Damping-off', 'Soft Rot', 'Ginger Wilt']",[],"['yellowing', 'tip-drying', 'mosaic', 'dwarfing']","['Bacillus subtilis', 'Bacillus licheniformis', 'Bacillus pumilus', 'Bacillus gelatinous', 'Bacillus amyloliquefaciens']","['Growth Promoter', 'Microbial Agent', 'Microbial Fertilizer']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Must not be mixed with strong acid or strong alkaline fertilizers or pesticides.', 'Spray before 10:00 AM or after 4:00 PM.', 'If splashed into eyes or on skin during application, rinse with clean water for at least 15 minutes.', 'Seek medical treatment if the condition is serious.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0002,葱姜蒜菌立清,"Allium Bacteria Clear for Onion, Ginger, and Garlic","['Chili Pepper', 'Green Onion', 'Ginger', 'Garlic', 'Chives', 'Onion', 'Vegetables', 'Fruit Trees', 'Melons', 'Fruits', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Root Rot', 'Downy Mildew', 'Gray Mold', 'Purple Spot', 'Anthracnose', 'Leaf Spot', 'Wilt', 'Damping-off', 'Soft Rot', 'Ginger Wilt', 'Viral Diseases']",[],"['yellowing', 'tip-drying', 'mosaic', 'dwarfing']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus mucilaginosus', 'Bacillus amyloliquefaciens', 'Bacillus gelatinous']","['Growth Promoter', 'Microbial Agent']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Must not be mixed with strong acid or strong alkali fertilizers or pesticides.', 'Spray before 10:00 AM or after 4:00 PM.', 'If sediment appears, stir well before use; this does not affect efficacy.', 'If it splashes into eyes, rinse with clean water for at least 15 minutes; seek medical attention if condition is severe.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0003,水稻菌立清,Rice Bacteria Clear,"['Rice', 'Chili Pepper', 'Vegetables', 'Fruit Trees', 'Melons', 'Fruits', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Sclerotinia Stem Rot', 'Downy Mildew', 'Powdery Mildew', 'Anthracnose', 'Root Rot', 'Wilt', 'Damping-off', 'Black Rot', 'Bacterial Wilt']",[],"['yellowing', 'mosaic', 'dwarfing']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus mucilaginosus', 'Bacillus amyloliquefaciens', 'Bacillus gelatinous']","['Growth Promoter', 'Microbial Agent']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Do not mix with strongly acidic or alkaline fertilizers or pesticides.', 'Spray before 10:00 AM or after 4:00 PM.', 'If sediment appears, stir well before use; this does not affect efficacy.', 'If splashed into eyes, rinse with clean water for at least 15 minutes; seek medical attention if condition is serious.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0004,白菜甘蓝防腐包心剂,Cabbage and Chinese Cabbage Anti-Rot Core-Protection Agent,"['Chinese Cabbage', 'Cabbage']","['Heart Leaf Rot', 'Dry Heart Burn', 'Soft Rot', 'Black Rot', 'Downy Mildew', 'Root Rot', 'Seedling Death']",[],"['leaf drying', 'shedding', 'yellow leaves', 'small leaves', 'leaf curling', 'stunted seedlings']",['Functional Fertilizer Containing Medium and Trace Elements'],"['Growth Promoter', 'Functional Fertilizer Containing Medium and Trace Elements']",['1 g per 0.5 L water'],[],[]
AF0005,草莓菌立清,Strawberry Junliqing,"['Chili Pepper', 'Strawberry', 'Vegetables', 'Fruit Trees', 'Melons', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Root Rot', 'Downy Mildew', 'Gray Mold', 'Purple Spot', 'Anthracnose', 'Leaf Spot', 'Wilt', 'Damping-off', 'Soft Rot', 'Ginger Wilt']",[],"['yellowing', 'tip-drying', 'mosaic', 'dwarfing']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus mucilaginosus', 'Bacillus amyloliquefaciens', 'Bacillus gelatinous']","['Growth Promoter', 'Microbial Agent']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Must not be mixed with strong acid or strong alkali fertilizers or pesticides.', 'Recommended to spray before 10:00 AM or after 4:00 PM.', 'If sediment appears, stir well before use; this does not affect efficacy.', 'If splashed into eyes, rinse with clean water for at least 15 minutes; seek medical treatment if condition is serious.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0006,菌立清,Jun Li Qing,"['Chili Pepper', 'Vegetables', 'Fruit Trees', 'Melons and Fruits', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees', 'Apple', 'Cherry', 'Lychee', 'Strawberry', 'Watermelon', 'Cucumber', 'Pumpkin', 'Loofah', 'Tomato', 'Pepper', 'Eggplant', 'Cowpea', 'Rice', 'Wheat', 'Corn', 'Cotton', 'Soybean']","['Late Blight', 'Anthracnose', 'Gray Mold', 'Powdery Mildew', 'Downy Mildew', 'Stem Rot', 'Root Rot', 'Damping-off', 'Seedling Blight', 'Bacterial Wilt', 'Soft Rot', 'Angular Leaf Spot', 'Canker']",[],"['yellowing', 'mosaic', 'leaf curling', 'leaf wrinkling', 'dwarfing', 'flower and fruit drop']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus mucilaginosus', 'Bacillus amyloliquefaciens', 'Bacillus gelatinous']","['Growth Promoter', 'Microbial Agent']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Do not mix with strongly acidic or alkaline fertilizers or pesticides.', 'Spray before 10:00 AM or after 4:00 PM.', 'If sediment appears, stir well before use; this does not affect efficacy.', 'If it splashes into eyes, rinse with clean water for at least 15 minutes; seek medical attention if symptoms are severe.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.', 'Safe to use, residue-free, pollution-free.']"
AF0007,辣椒菌立清,Chili Bacterial Clear,"['Chili Pepper', 'Vegetables', 'Fruit Trees', 'Melons', 'Fruits', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Late Blight', 'Anthracnose', 'Gray Mold', 'Powdery Mildew', 'Downy Mildew', 'Stem Blight', 'Root Rot', 'Damping-off', 'Wilt', 'Bacterial Wilt', 'Soft Rot', 'Angular Leaf Spot', 'Canker']",[],"['yellowing', 'mosaic', 'leaf curling', 'wrinkling', 'dwarfing', 'flower and fruit drop']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus gelatinous', 'Bacillus amyloliquefaciens']","['Growth Promoter', 'Microbial Agent', 'Microbial Fertilizer', 'Liquid']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Do not mix with strongly acidic or strongly alkaline fertilizers or pesticides.', 'Spray before 10 a.m. or after 4 p.m.', 'If sediment appears, stir well before use; this does not affect efficacy.', 'If it splashes into eyes, rinse with clean water for at least 15 minutes; seek medical treatment if condition is serious.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0008,黄瓜菌立清,Cucumber Junliqing,"['Chili Pepper', 'Cucumber', 'Vegetables', 'Fruit Trees', 'Melons', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees']","['Root Rot', 'Downy Mildew', 'Gray Mold', 'Purple Spot', 'Anthracnose', 'Leaf Spot', 'Wilt', 'Damping-off', 'Soft Rot', 'Ginger Wilt']",[],"['yellowing', 'tip-drying', 'mosaic', 'dwarfing']","['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus mucilaginosus', 'Bacillus amyloliquefaciens']","['Growth Promoter', 'Microbial Agent', 'Microbial Fertilizer']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Do not mix with strong acid or strong alkali fertilizers or pesticides.', 'Spray before 10 a.m. or after 4 p.m.', 'If sediment appears, stir well before use; it does not affect efficacy.', 'If it splashes into eyes, rinse with clean water for at least 15 minutes; seek medical treatment if serious.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
AF0009,袋装菌立清,Bags of Junliqing,"['Chili Pepper', 'Vegetables', 'Fruit Trees', 'Melons and Fruits', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees', 'Pepper']","['Late Blight', 'Anthracnose', 'Gray Mold', 'Powdery Mildew', 'Downy Mildew', 'Stem Rot', 'Root Rot', 'Damping-off', 'Seedling Blight', 'Bacterial Wilt', 'Soft Rot', 'Angular Leaf Spot', 'Canker']",[],"['yellowing', 'mosaic', 'leaf curling', 'wrinkling', 'dwarfing', 'flower and fruit drop']",['Composite microbial agent'],"['Growth Promoter', 'Microbial Agent', 'Microbial Fertilizer']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Must not be mixed with strong acid or strong alkali fertilizers or pesticides.', 'If sediment appears, stir well before use; it does not affect the efficacy.', 'Store in a cool, dry place out of reach of children.', 'Not edible.', 'Do not store together with food.']"
AF0010,清满园,Qingmanyuan,"['Chili Pepper', 'Vegetables', 'Fruit Trees', 'Melons', 'Field Crops', 'Medicinal Herbs', 'Flowers', 'Seedlings', 'Tea Trees', 'Citrus', 'Apple', 'Pear', 'Peach', 'Tomato', 'Cucumber', 'Sichuan Pepper', 'Chinese Medicinal Materials', 'Rose', 'Osmanthus']","['Ulcer Disease', 'Gummosis', 'Black Spot', 'Rot', 'Moss']","['Red Spider Mites', 'Aphids']",[],"['Bacillus subtilis', 'Bacillus laterosporus', 'Bacillus licheniformis', 'Bacillus gelatinous', 'Bacillus amyloliquefaciens']","['Growth Promoter', 'Microbial Agent', 'Microbial Fertilizer', 'Soluble Concentrate']","['1:1000 dilution', '1 g per 0.5 L water']",['Foliar spray'],"['Must not be mixed with strongly acidic or alkaline fertilizers or pesticides.', 'Recommended to spray before 10 a.m. or after 4 p.m.', 'If sediment appears, stir well before use; it does not affect efficacy.', 'If it splashes into the eyes, rinse with clean water for at least 15 minutes; seek medical treatment if severe.', 'Store in a dry, cool, rainproof place, away from fire or heat sources.']"
